Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH CAROLINA,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190335
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190367
US RESIDENTS,2019,3,10,,53,,23,,64,,,-,9,,2,,,-,5,,18,,10,,4,,,US RESIDENTS,20190301
INDIANA,2019,3,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190316
VERMONT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190308
OHIO,2019,3,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190318
MICHIGAN,2019,3,,-,3,,,-,1,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190317
GEORGIA,2019,3,,-,7,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190332
NORTH DAKOTA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190326
MISSOURI,2019,3,1,,3,,1,,1,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190324
MAINE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190304
HAWAII,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190360
MOUNTAIN,2019,3,,-,7,,,-,2,,,-,0,,,-,,-,1,,1,,1,,,-,,MOUNTAIN,20190348
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190323
CONNECTICUT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190303
RHODE ISLAND,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190307
IDAHO,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190351
FLORIDA,2019,3,,-,4,,,-,3,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190331
MISSISSIPPI,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190341
NEW YORK CITY,2019,3,1,,11,,5,,7,,,-,9,,2,,,-,,-,2,,,-,,-,,NEW YORK CITY,20190312
NEW HAMPSHIRE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190306
WYOMING,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190356
WEST SOUTH CENTRAL,2019,3,1,,5,,2,,2,,,-,5,,,-,,-,,-,1,,,-,1,,,WEST SOUTH CENTRAL,20190343
NEW ENGLAND,2019,3,,-,5,,1,,3,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20190302
ARIZONA,2019,3,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190349
PACIFIC,2019,3,,-,8,,1,,5,,,-,3,,,-,,-,,-,2,,2,,,-,,PACIFIC,20190357
WISCONSIN,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190319
NEW JERSEY,2019,3,,-,6,,2,,7,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190310
MIDDLE ATLANTIC,2019,3,5,,24,,12,,21,,,-,9,,2,,,-,4,,16,,7,,1,,,MIDDLE ATLANTIC,20190309
SOUTH DAKOTA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190327
MASSACHUSETTS,2019,4,1,,4,,3,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190405
NEBRASKA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190425
FLORIDA,2019,4,,-,4,,,-,3,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190431
UTAH,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190455
ALABAMA,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190439
WEST SOUTH CENTRAL,2019,4,,-,5,,2,,2,,,-,5,,,-,5,,,-,1,,,-,2,,,WEST SOUTH CENTRAL,20190443
MISSOURI,2019,4,,-,3,,1,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190424
TEXAS,2019,4,,-,5,,1,,,-,,-,5,,,-,5,,,-,1,,,-,1,,"TEXAS
(31.447238, -99.317341)",,20190447
COLORADO,2019,4,,-,3,,2,,2,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20190450
NEVADA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190453
MARYLAND,2019,4,1,,9,,5,,14,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190433
ARIZONA,2019,4,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190449
INDIANA,2019,4,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190416
OKLAHOMA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190446
US RESIDENTS,2019,4,10,,53,,48,,87,,,-,9,,5,,5,,1,,18,,12,,5,,,US RESIDENTS,20190401
SOUTH CAROLINA,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190435
NEW JERSEY,2019,4,,-,6,,3,,8,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190410
WISCONSIN,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190419
MIDDLE ATLANTIC,2019,4,3,,24,,18,,27,,,-,9,,5,,,-,,-,16,,7,,1,,,MIDDLE ATLANTIC,20190409
MOUNTAIN,2019,4,,-,7,,2,,2,,,-,0,,,-,,-,,-,1,,1,,,-,,MOUNTAIN,20190448
TOTAL,2019,4,10,,53,,48,,87,,,-,9,,5,,5,,1,,18,,12,,5,,,TOTAL,20190470
RHODE ISLAND,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190407
GEORGIA,2019,4,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190432
NEW HAMPSHIRE,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190406
MICHIGAN,2019,4,,-,3,,,-,2,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190417
VIRGINIA,2019,4,1,,5,,4,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190436
KENTUCKY,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190440
MISSISSIPPI,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190441
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190423
SOUTH DAKOTA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190427
SOUTH ATLANTIC,2019,4,5,,21,,14,,27,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20190428
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190463
OREGON,2019,4,,-,2,,,-,1,,,-,1,,,-,,-,1,,1,,2,,,-,"OREGON
(43.940449, -120.605279)",,20190461
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190464
WYOMING,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190456
ARKANSAS,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20190444
NEW MEXICO,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190454
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190467
NORTH DAKOTA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190426
LOUISIANA,2019,4,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190445
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190466
PENNSYLVANIA,2019,4,1,,8,,4,,6,,,-,0,,,-,,-,,-,1,,1,,1,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190413
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190465
DISTRICT OF COLUMBIA,2019,4,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190430
VERMONT,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190408
ILLINOIS,2019,4,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.124144, -89.148632)",,20190415
CONNECTICUT,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190403
OHIO,2019,4,1,,4,,1,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190418
DELAWARE,2019,4,3,,2,,4,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190429
TENNESSEE,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190442
ALASKA,2019,4,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190458
KANSAS,2019,4,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190422
WEST VIRGINIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190437
PACIFIC,2019,4,,-,8,,5,,9,,,-,3,,,-,,-,1,,3,,4,,,-,,PACIFIC,20190457
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190469
IDAHO,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190451
WEST NORTH CENTRAL,2019,4,,-,5,,3,,5,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL,20190420
NEW YORK,2019,4,,-,4,,2,,3,,,-,0,,,-,,-,,-,14,,6,,,-,"NEW YORK
(42.921241, -75.59655)",,20190411
NEW YORK CITY,2019,4,2,,11,,9,,10,,,-,9,,5,,,-,,-,2,,,-,,-,,NEW YORK CITY,20190412
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190468
WASHINGTON,2019,4,,-,4,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190462
MAINE,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190404
MONTANA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190452
IOWA,2019,4,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190421
HAWAII,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190460
NEW ENGLAND,2019,4,1,,5,,3,,3,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20190402
EAST SOUTH CENTRAL,2019,4,,-,4,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190438
EAST NORTH CENTRAL,2019,4,1,,7,,1,,11,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL,20190414
CALIFORNIA,2019,4,,-,5,,4,,5,,,-,3,,,-,,-,,-,2,,2,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190459
NORTH CAROLINA,2019,4,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190434
KANSAS,2019,5,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190522
WYOMING,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190556
NEW YORK,2019,5,,-,4,,2,,6,,,-,0,,,-,,-,1,,14,,7,,,-,"NEW YORK
(42.921241, -75.59655)",,20190511
PENNSYLVANIA,2019,5,2,,8,,7,,7,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190513
NEW HAMPSHIRE,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190506
VERMONT,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190508
MASSACHUSETTS,2019,5,1,,4,,4,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190505
NEW MEXICO,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190554
TEXAS,2019,5,,-,5,,1,,,-,,-,0,,,-,5,,,-,1,,,-,1,,"TEXAS
(31.447238, -99.317341)",,20190547
NORTH CAROLINA,2019,5,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190534
WASHINGTON,2019,5,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190562
NEW ENGLAND,2019,5,1,,5,,4,,5,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20190502
DISTRICT OF COLUMBIA,2019,5,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190530
WEST SOUTH CENTRAL,2019,5,,-,5,,2,,2,,,-,0,,,-,5,,,-,1,,,-,2,,,WEST SOUTH CENTRAL,20190543
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190568
NEW JERSEY,2019,5,,-,6,,5,,9,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190510
NORTH DAKOTA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190526
INDIANA,2019,5,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190516
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190569
MISSISSIPPI,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190541
OREGON,2019,5,,-,2,,,-,1,,1,,2,,1,,2,,,-,1,,2,,,-,"OREGON
(43.940449, -120.605279)",,20190561
GEORGIA,2019,5,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190532
NEVADA,2019,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190553
KENTUCKY,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190540
SOUTH DAKOTA,2019,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190527
MOUNTAIN,2019,5,,-,7,,5,,9,,,-,0,,,-,,-,,-,1,,1,,,-,,MOUNTAIN,20190548
SOUTH CAROLINA,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190535
ILLINOIS,2019,5,,-,4,,,-,4,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.124144, -89.148632)",,20190515
MIDDLE ATLANTIC,2019,5,3,,24,,25,,33,,,-,9,,7,,,-,1,,16,,11,,2,,,MIDDLE ATLANTIC,20190509
WISCONSIN,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190519
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190523
ARIZONA,2019,5,,-,5,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190549
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190565
OKLAHOMA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190546
ALASKA,2019,5,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190558
NEBRASKA,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190525
US RESIDENTS,2019,5,8,,53,,67,,116,,1,,9,,8,,7,,1,,18,,16,,6,,,US RESIDENTS,20190501
CALIFORNIA,2019,5,1,,5,,8,,6,,,-,3,,,-,,-,,-,2,,2,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190559
HAWAII,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190560
LOUISIANA,2019,5,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190545
MARYLAND,2019,5,,-,9,,5,,17,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190533
MAINE,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190504
MONTANA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190552
RHODE ISLAND,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190507
FLORIDA,2019,5,,-,4,,,-,3,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190531
PACIFIC,2019,5,1,,8,,9,,11,,1,,3,,1,,2,,,-,3,,4,,,-,,PACIFIC,20190557
MISSOURI,2019,5,,-,3,,1,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190524
OHIO,2019,5,2,,4,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190518
WEST VIRGINIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190537
ARKANSAS,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20190544
NEW YORK CITY,2019,5,1,,11,,11,,11,,,-,9,,7,,,-,,-,2,,3,,,-,,NEW YORK CITY,20190512
EAST NORTH CENTRAL,2019,5,2,,7,,3,,16,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL,20190514
EAST SOUTH CENTRAL,2019,5,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190538
IOWA,2019,5,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190521
SOUTH ATLANTIC,2019,5,1,,21,,16,,32,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20190528
ALABAMA,2019,5,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190539
VIRGINIA,2019,5,,-,5,,5,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190536
CONNECTICUT,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190503
COLORADO,2019,5,,-,3,,2,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20190550
DELAWARE,2019,5,1,,3,,5,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190529
UTAH,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190555
TENNESSEE,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190542
AMERICAN SAMOA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190564
WEST NORTH CENTRAL,2019,5,,-,5,,3,,6,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL,20190520
TOTAL,2019,5,8,,53,,67,,116,,1,,9,,8,,7,,1,,18,,16,,6,,,TOTAL,20190570
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190566
IDAHO,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190551
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190563
MICHIGAN,2019,5,,-,3,,,-,4,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190517
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190567
NEVADA,2019,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190653
WEST VIRGINIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190637
WASHINGTON,2019,6,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190662
GEORGIA,2019,6,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190632
PENNSYLVANIA,2019,6,1,,8,,10,,7,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190613
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190623
MIDDLE ATLANTIC,2019,6,3,,24,,32,,35,,1,,9,,8,,,-,4,,16,,16,,2,,,MIDDLE ATLANTIC,20190609
AMERICAN SAMOA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190664
LOUISIANA,2019,6,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190645
ARKANSAS,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20190644
